document,pageGroup,line,word,setName
TransBeforeChavez1stGradeUTF8.txt,1,6,y,preChavez
TransBeforeChavez1stGradeUTF8.txt,1,6,refuerzo,preChavez
TransBeforeChavez1stGradeUTF8.txt,1,6,de,preChavez
TransBeforeChavez1stGradeUTF8.txt,1,6,los,preChavez
TransBeforeChavez1stGradeUTF8.txt,1,6,objetivos,preChavez
TransBeforeChavez1stGradeUTF8.txt,1,6,previstos,preChavez
TransBeforeChavez1stGradeUTF8.txt,1,6,en,preChavez
TransBeforeChavez1stGradeUTF8.txt,1,6,cada,preChavez
TransBeforeChavez1stGradeUTF8.txt,1,6,programa,preChavez
TransBeforeChavez1stGradeUTF8.txt,1,6,instruccional,preChavez
TransBeforeChavez1stGradeUTF8.txt,1,6,el,preChavez
TransBeforeChavez1stGradeUTF8.txt,1,6,eje,preChavez
TransBeforeChavez1stGradeUTF8.txt,1,6,directriz,preChavez
TransBeforeChavez1stGradeUTF8.txt,1,6,del,preChavez
TransBeforeChavez1stGradeUTF8.txt,1,6,libro,preChavez
TransBeforeChavez1stGradeUTF8.txt,1,6,es,preChavez
TransBeforeChavez1stGradeUTF8.txt,1,6,castellano,preChavez
TransBeforeChavez1stGradeUTF8.txt,1,6,y,preChavez
TransBeforeChavez1stGradeUTF8.txt,1,6,literatura,preChavez
TransBeforeChavez1stGradeUTF8.txt,1,6,que,preChavez
TransBeforeChavez1stGradeUTF8.txt,1,6,cohesiona,preChavez
TransBeforeChavez1stGradeUTF8.txt,1,6,o,preChavez
TransBeforeChavez1stGradeUTF8.txt,1,6,engrana,preChavez
TransBeforeChavez1stGradeUTF8.txt,1,6,todas,preChavez
TransBeforeChavez1stGradeUTF8.txt,1,6,las,preChavez
TransBeforeChavez1stGradeUTF8.txt,1,6,demás,preChavez
TransBeforeChavez1stGradeUTF8.txt,1,6,áreas,preChavez
TransBeforeChavez1stGradeUTF8.txt,1,6,debido,preChavez
TransBeforeChavez1stGradeUTF8.txt,1,6,al,preChavez
TransBeforeChavez1stGradeUTF8.txt,1,6,carácter,preChavez
TransBeforeChavez1stGradeUTF8.txt,1,6,instrumental,preChavez
TransBeforeChavez1stGradeUTF8.txt,1,6,que,preChavez
TransBeforeChavez1stGradeUTF8.txt,1,6,se,preChavez
TransBeforeChavez1stGradeUTF8.txt,1,6,le,preChavez
TransBeforeChavez1stGradeUTF8.txt,1,6,asigna,preChavez
TransBeforeChavez1stGradeUTF8.txt,1,6,en,preChavez
TransBeforeChavez1stGradeUTF8.txt,1,6,esta,preChavez
TransBeforeChavez1stGradeUTF8.txt,1,6,primera,preChavez
TransBeforeChavez1stGradeUTF8.txt,1,6,etapa,preChavez
TransBeforeChavez1stGradeUTF8.txt,1,6,de,preChavez
TransBeforeChavez1stGradeUTF8.txt,1,6,la,preChavez
TransBeforeChavez1stGradeUTF8.txt,1,6,educación,preChavez
TransBeforeChavez1stGradeUTF8.txt,1,6,básica,preChavez
TransBeforeChavez1stGradeUTF8.txt,1,6,si,preChavez
TransBeforeChavez1stGradeUTF8.txt,1,6,un,preChavez
TransBeforeChavez1stGradeUTF8.txt,1,6,niño,preChavez
TransBeforeChavez1stGradeUTF8.txt,1,6,no,preChavez
TransBeforeChavez1stGradeUTF8.txt,1,6,domina,preChavez
TransBeforeChavez1stGradeUTF8.txt,1,6,su,preChavez
TransBeforeChavez1stGradeUTF8.txt,1,6,instrumento,preChavez
TransBeforeChavez1stGradeUTF8.txt,1,6,comunicacional,preChavez
TransBeforeChavez1stGradeUTF8.txt,1,6,tampoco,preChavez
TransBeforeChavez1stGradeUTF8.txt,1,6,podrá,preChavez
