setName,document,pageGroup,line,word,stem,lemma,wordCount,stemCount,lemmaCount,wordProp,stemProp,lemmaProp
preChavez,TransBeforeChavez1stGradeUTF8.txt,1,6,orientador,orient,oriente,1,40,40,4.1003772347055926e-5,0.0016401508938822373,0.0016401508938822373
preChavez,TransBeforeChavez1stGradeUTF8.txt,1,6,propiciador,propici,propiciar,1,3,3,4.1003772347055926e-5,1.2301131704116778e-4,1.2301131704116778e-4
preChavez,TransBeforeChavez1stGradeUTF8.txt,1,6,situaciones,situacion,situación,12,26,26,4.920452681646711e-4,0.0010660980810234541,0.0010660980810234541
preChavez,TransBeforeChavez1stGradeUTF8.txt,1,6,aprendizaje,aprendizaj,aprendizaje,7,7,7,2.870264064293915e-4,2.870264064293915e-4,2.870264064293915e-4
preChavez,TransBeforeChavez1stGradeUTF8.txt,1,6,concebido,conceb,concebido,2,2,2,8.200754469411185e-5,8.200754469411185e-5,8.200754469411185e-5
preChavez,TransBeforeChavez1stGradeUTF8.txt,1,6,recurso,recurs,recursos,12,104,104,4.920452681646711e-4,0.0042643923240938165,0.0042643923240938165
preChavez,TransBeforeChavez1stGradeUTF8.txt,1,6,didáctico,didact,didáctica,1,1,1,4.1003772347055926e-5,4.1003772347055926e-5,4.1003772347055926e-5
preChavez,TransBeforeChavez1stGradeUTF8.txt,1,6,sugiere,sugier,sugiere,1,1,1,4.1003772347055926e-5,4.1003772347055926e-5,4.1003772347055926e-5
preChavez,TransBeforeChavez1stGradeUTF8.txt,1,6,actividades,activ,actividad,63,146,146,0.0025832376578645237,0.005986550762670166,0.005986550762670166
preChavez,TransBeforeChavez1stGradeUTF8.txt,1,6,permanentes,permanent,permanente,4,12,12,1.640150893882237e-4,4.920452681646711e-4,4.920452681646711e-4
preChavez,TransBeforeChavez1stGradeUTF8.txt,1,6,refuerzo,refuerz,refuerzos,1,2,2,4.1003772347055926e-5,8.200754469411185e-5,8.200754469411185e-5
preChavez,TransBeforeChavez1stGradeUTF8.txt,1,6,objetivos,objet,objetos,12,41,41,4.920452681646711e-4,0.0016811546662292931,0.0016811546662292931
preChavez,TransBeforeChavez1stGradeUTF8.txt,1,6,previstos,previst,previsto,1,1,1,4.1003772347055926e-5,4.1003772347055926e-5,4.1003772347055926e-5
preChavez,TransBeforeChavez1stGradeUTF8.txt,1,6,programa,program,programas,1,10,10,4.1003772347055926e-5,4.100377234705593e-4,4.100377234705593e-4
preChavez,TransBeforeChavez1stGradeUTF8.txt,1,6,instruccional,instruccional,instruccional,1,1,1,4.1003772347055926e-5,4.1003772347055926e-5,4.1003772347055926e-5
preChavez,TransBeforeChavez1stGradeUTF8.txt,1,6,directriz,directriz,directriz,1,1,1,4.1003772347055926e-5,4.1003772347055926e-5,4.1003772347055926e-5
preChavez,TransBeforeChavez1stGradeUTF8.txt,1,6,castellano,castellan,castellano,1,1,1,4.1003772347055926e-5,4.1003772347055926e-5,4.1003772347055926e-5
preChavez,TransBeforeChavez1stGradeUTF8.txt,1,6,literatura,literatur,literatura,9,9,9,3.6903395112350336e-4,3.6903395112350336e-4,3.6903395112350336e-4
